UTC Date & Time,Voyage No.,Instructed Speed,CP Fuel Cons. limit,SS/HS/PS,Steaming time (HRS),Speed (KTS),Slip (%),Wind force,ME FO Consumption,Total FO Consumption,ME FO Consumption / 24 hrs,TOTAL FO Consumption / 24 hrs
23-Aug-21,01B,10,28,SS,8.2,11,12.28,3,9,11,26.34,32.2
24-Aug-21,01B,10,28,SS,24,11,12.83,4,29.3,32.48,29.3,32.48
25-Aug-21,01B,10,28,SS,24,10.8,13.42,4,29.1,32.26,29.1,32.26
26-Aug-21,01B,10,28,SS,24,11,12.12,3,29.2,32.39,29.2,32.39
26-Aug-21,01B,10,28,SS,1.3,10,13.33,3,1.6,1.75,29.54,32.31
10-Sep-21,02-B,10,28,SS,6.7,11.3,15.56,4,8,9.06,28.66,32.45
11-Sep-21,02-B,10,28,SS,24,9.6,9.8,4,29.3,32.49,29.3,32.49
12-Sep-21,02-B,10,28,SS,24,11,8.97,4,29.3,32.47,29.3,32.47
12-Sep-21,02-B,10,28,SS,13.9,10.6,13.53,3,16.7,18.81,28.83,32.48
14-Sep-21,02-B1,10,28,SS,11.8,10.8,15.33,3,15.2,16.95,30.92,34.47
15-Sep-21,02-B1,10,28,SS,24,11.4,11.61,3,31.3,34.48,31.3,34.48
16-Sep-21,02-B1,10,28,SS,24,11.7,12.19,3,31.2,34.45,31.2,34.45
17-Sep-21,02-B1,10,28,SS,24,11,14.84,4,31.3,34.55,31.3,34.55
18-Sep-21,02-B1,10,28,SS,24,11.6,12.81,4,31.3,34.48,31.3,34.48
18-Sep-21,02-B1,10,28,SS,1.5,11.33,15,4,1.87,2.16,29.92,34.56
3-Oct-21,03-B,10,28,SS,21,10.95,10.85,3,27.5,30.6,31.43,34.97
4-Oct-21,03-B,10,28,SS,24,10.67,10.18,4,31.3,34.9,31.3,34.9
5-Oct-21,03-B,10,28,SS,24,11.04,11.67,4,31.3,34.8,31.3,34.8
6-Oct-21,03-B,10,28,SS,24,10.79,12.2,3,31.3,34.9,31.3,34.9
7-Oct-21,03-B,10,28,SS,24,10.67,13.22,4,31.3,34.9,31.3,34.9
8-Oct-21,03-B,10,28,SS,24,11.67,12.5,4,31.5,35.1,31.5,35.1
9-Oct-21,03-B,10,28,SS,24,10.46,14.92,4,31.8,35.4,31.8,35.4
9-Oct-21,03-B,10,28,SS,8.3,10.96,13.33,4,11.6,12.8,33.54,37.01
23-Oct-21,04-B,10,28,SS,4.7,12.98,12.86,3,6.1,6.85,31.15,34.98
24-Oct-21,04-B,10,28,SS,24,10.67,11.72,4,30.9,34.5,30.9,34.5
25-Oct-21,04-B,10,28,SS,24,10.83,13.33,4,30.7,34.3,30.7,34.3
26-Oct-21,04-B,11,32,SS,24,10.75,12.54,4,30.9,34.5,30.9,34.5
27-Oct-21,04-B,11,32,SS,24,10.5,13.7,4,30.9,34.5,30.9,34.5
28-Oct-21,04-B,11,32,SS,24,7.79,15,5,28.49,32.09,28.49,32.09
29-Oct-21,04-B,11,32,SS,24,10.17,10.95,4,30.9,34.5,30.9,34.5
30-Oct-21,04-B,11,32,SS,24,10.67,12.63,3,31,34.6,31,34.6
30-Oct-21,04-B,11,32,SS,12.5,10.16,12.41,3,16.13,18,30.97,34.56
17-Nov-21,05-B,11,32,SS,21.5,10.84,10.38,4,27.3,30.5,30.47,34.05
18-Nov-21,05-B,11,32,SS,24,9.67,12.45,,30.4,34,30.4,34
19-Nov-21,05-B,11,32,SS,24,10.79,10.69,4,30.4,34,30.4,34
20-Nov-21,05-B,11,32,SS,24,11.25,10,3,30.5,34.1,30.5,34.1
21-Nov-21,05-B,11,32,SS,24,9.75,22,4,30.4,34,30.4,34
22-Nov-21,05-B,11,32,SS,24,8.33,16.67,4,30.6,34.2,30.6,34.2
23-Nov-21,05-B,11,32,SS,24,10.75,11.03,,30.4,33.9,30.4,33.9
24-Nov-21,05-B,11,32,SS,20.5,10.34,11.67,4,26,29,30.44,33.95
10-Dec-21,06-B,11,32,SS,4.5,11.33,10.53,4,5.9,6.57,31.47,35.04
11-Dec-21,06-B,11,32,SS,24,11.29,11.15,4,31.3,34.9,31.3,34.9
12-Dec-21,06-B,11,32,SS,24,10.67,8.57,3,31.2,34.8,31.2,34.8
13-Dec-21,06-B,11,32,SS,24,9.67,10.77,4,31.1,34.7,31.1,34.7
14-Dec-21,06-B,11,32,SS,23.5,9.45,11.9,4,30.3,33.8,30.94,34.52
17-Dec-21,06-B1,11,32,SS,20.5,10.73,12.7,3,26.4,29.4,30.91,34.42
18-Dec-21,06-B1,11,32,SS,24,10.29,13.33,4,30.9,34.5,30.9,34.5
19-Dec-21,06-B1,11,32,SS,24,10.96,13.77,3,30.4,34,30.4,34
