UTC Date & Time,CP Fuel Cons. limit
8/23/2021,28
8/24/2021,28
8/25/2021,28
8/26/2021,28
8/26/2021,28
9/10/2021,28
9/11/2021,28
9/12/2021,28
9/12/2021,28
9/14/2021,28
9/15/2021,28
9/16/2021,28
9/17/2021,28
9/18/2021,28
9/18/2021,28
10/3/2021,28
10/4/2021,28
10/5/2021,28
10/6/2021,28
10/7/2021,28
10/8/2021,28
10/9/2021,28
10/9/2021,28
10/23/2021,28
10/24/2021,28
10/25/2021,28
10/26/2021,32
10/27/2021,32
10/28/2021,32
10/29/2021,32
10/30/2021,32
10/30/2021,32
11/17/2021,32
11/18/2021,32
11/19/2021,32
11/20/2021,32
11/21/2021,32
11/22/2021,32
11/23/2021,32
11/24/2021,32
12/10/2021,32
12/11/2021,32
12/12/2021,32
12/13/2021,32
12/14/2021,32
12/17/2021,32
12/18/2021,32
12/19/2021,32
12/20/2021,32
1/4/2022,32
1/5/2022,32
1/6/2022,32
1/7/2022,32
1/8/2022,32
1/9/2022,32
1/10/2022,32
1/11/2022,32
2/2/2022,32
2/3/2022,32
2/4/2022,32
2/5/2022,32
2/6/2022,32
2/7/2022,32
2/7/2022,32
2/20/2022,32
2/21/2022,32
2/21/2022,32
2/23/2022,32
2/24/2022,32
2/25/2022,32
2/26/2022,32
2/26/2022,32
3/14/2022,32
3/15/2022,32
3/16/2022,32
3/16/2022,32
3/17/2022,32
3/18/2022,32
3/19/2022,32
3/20/2022,32
3/21/2022,32
3/21/2022,32
4/8/2022,32
4/9/2022,32
4/10/2022,32
4/11/2022,32
4/11/2022,32
4/13/2022,32
4/14/2022,32
4/15/2022,32
4/15/2022,32
5/3/2022,32
5/4/2022,32
5/5/2022,32
5/6/2022,32
5/7/2022,32
5/8/2022,32
5/9/2022,32
5/10/2022,32
5/11/2022,32
5/12/2022,32
5/27/2022,32
5/28/2022,32
5/29/2022,32
5/30/2022,32
5/31/2022,32
6/1/2022,32
6/2/2022,32
6/2/2022,32
6/19/2022,32
6/20/2022,32
6/21/2022,32
6/22/2022,32
6/23/2022,32
6/24/2022,32
6/25/2022,32
6/26/2022,32
7/11/2022,32
7/12/2022,32
7/13/2022,32
