UTC Date & Time,TOTAL FO Consumption / 24 hrs
8/23/2021,32.2
8/24/2021,32.48
8/25/2021,32.26
8/26/2021,32.39
8/26/2021,32.31
9/10/2021,32.45
9/11/2021,32.49
9/12/2021,32.47
9/12/2021,32.48
9/14/2021,34.47
9/15/2021,34.48
9/16/2021,34.45
9/17/2021,34.55
9/18/2021,34.48
9/18/2021,34.56
10/3/2021,34.97
10/4/2021,34.9
10/5/2021,34.8
10/6/2021,34.9
10/7/2021,34.9
10/8/2021,35.1
10/9/2021,35.4
10/9/2021,37.01
10/23/2021,34.98
10/24/2021,34.5
10/25/2021,34.3
10/26/2021,34.5
10/27/2021,34.5
10/28/2021,32.09
10/29/2021,34.5
10/30/2021,34.6
10/30/2021,34.56
11/17/2021,34.05
11/18/2021,34
11/19/2021,34
11/20/2021,34.1
11/21/2021,34
11/22/2021,34.2
11/23/2021,33.9
11/24/2021,33.95
12/10/2021,35.04
12/11/2021,34.9
12/12/2021,34.8
12/13/2021,34.7
12/14/2021,34.52
12/17/2021,34.42
12/18/2021,34.5
12/19/2021,34
12/20/2021,34
1/4/2022,33.95
1/5/2022,34
1/6/2022,34
1/7/2022,35.09
1/8/2022,33.6
1/9/2022,33.6
1/10/2022,33.4
1/11/2022,33.46
2/2/2022,33.6
2/3/2022,33.6
2/4/2022,33.6
2/5/2022,33.7
2/6/2022,33.8
2/7/2022,33.6
2/7/2022,33.46
2/20/2022,32.98
2/21/2022,30
2/21/2022,29.79
2/23/2022,31.9
2/24/2022,32
2/25/2022,32.5
2/26/2022,32
2/26/2022,31.94
3/14/2022,30.55
3/15/2022,30.6
3/16/2022,30.4
3/16/2022,29.4
3/17/2022,29.79
3/18/2022,28.6
3/19/2022,30.13
3/20/2022,29.5
3/21/2022,29.5
3/21/2022,27.6
4/8/2022,30.6
4/9/2022,30.2
4/10/2022,30.2
4/11/2022,30.2
4/11/2022,30.14
4/13/2022,30.12
4/14/2022,30.3
4/15/2022,30.3
4/15/2022,30.28
5/3/2022,32.31
5/4/2022,30.3
5/5/2022,30.3
5/6/2022,30.8
5/7/2022,31.8
5/8/2022,30.5
5/9/2022,31.2
5/10/2022,25.65
5/11/2022,7.1
5/12/2022,27.26
5/27/2022,31.64
5/28/2022,31.7
5/29/2022,31.2
5/30/2022,31.1
5/31/2022,30.4
6/1/2022,30
6/2/2022,30
6/2/2022,30.67
6/19/2022,27.87
6/20/2022,31.4
6/21/2022,31.47
6/22/2022,30.3
6/23/2022,22.05
6/24/2022,29.7
6/25/2022,29.4
6/26/2022,27.96
7/11/2022,30.24
7/12/22,30
7/13/22,27.5
