UTC Date & Time,FW production (MT) /24
8/29/2021,0
8/30/2021,22
8/31/2021,22
9/1/2021,22
9/2/2021,22
9/3/2021,22
9/4/2021,22
9/5/2021,22
9/6/2021,17.74
9/22/2021,19.49
9/23/2021,18
9/24/2021,11
9/25/2021,22
9/26/2021,21
9/27/2021,21
9/28/2021,21
9/29/2021,22
9/29/2021,0
10/13/2021,17.33
10/14/2021,21
10/15/2021,21
10/16/2021,20.57
10/17/2021,19.43
10/18/2021,20
10/19/2021,20
10/20/2021,20
10/20/2021,16.94
11/3/2021,18.91
11/4/2021,20
11/5/2021,20
11/6/2021,20
11/7/2021,20
11/8/2021,20
11/9/2021,20
11/10/2021,20
11/10/2021,12
11/27/2021,16.8
11/28/2021,19
11/29/2021,20
11/30/2021,19
12/1/2021,20
12/1/2021,19.2
12/3/2021,16
12/4/2021,21
12/5/2021,21
12/5/2021,17.14
12/23/2021,22.96
12/24/2021,22
12/25/2021,21
12/26/2021,21
12/27/2021,21
12/28/2021,19
12/29/2021,20
12/29/2021,10.26
1/18/2022,10.29
1/19/2022,19
1/20/2022,19
1/21/2022,19
1/22/2022,17.97
2/10/2022,22.33
2/11/2022,23
2/12/2022,23
2/13/2022,23
2/14/2022,23
2/15/2022,22
2/16/2022,12
2/16/2022,0
3/1/2022,23.61
3/2/2022,23
3/3/2022,23
3/4/2022,23
3/5/2022,22
3/6/2022,16
3/7/2022,0
3/8/2022,0
3/8/2022,0
3/26/2022,19.69
3/27/2022,20
3/28/2022,20
3/29/2022,20
3/30/2022,20
3/31/2022,15
4/1/2022,19
4/2/2022,15
4/2/2022,0
4/20/2022,20.57
4/21/2022,19
4/22/2022,19
4/23/2022,19
4/24/2022,19
4/25/2022,18
4/26/2022,18
4/27/2022,18
4/28/2022,12
5/17/2022,18.18
5/18/2022,21
5/19/2022,20
5/20/2022,20
5/21/2022,20
5/22/2022,21
5/23/2022,21
5/24/2022,21
5/25/2022,20.3
6/5/2022,16.84
6/6/2022,20
6/7/2022,19
6/8/2022,19
6/9/2022,20
6/10/2022,20
6/11/2022,9
6/12/2022,19
6/13/2022,14.05
6/30/2022,16.55
7/1/2022,18
7/2/2022,18
7/3/2022,18
7/4/2022,18
7/5/2022,19
7/6/2022,18
7/7/2022,8
7/8/2022,18
7/9/2022,14.77
7/25/2022,0
7/26/2022,15
7/27/2022,15
7/28/2022,15
7/29/2022,15
7/30/2022,12
7/31/2022,16
8/1/2022,15
8/2/2022,7.47
8/3/2022,6
8/4/2022,12.52
8/5/2022,0
8/5/2022,0
8/7/2022,13.33
8/8/2022,15
8/9/2022,15
8/10/2022,16
8/11/2022,12.52
8/12/2022,10
8/13/2022,14
8/14/2022,15
8/15/2022,15
8/16/2022,15
8/17/2022,16
8/17/2022,18.65
