UTC Date & Time,Slip (%)
2021-08-23,12.28
2021-08-24,12.83
2021-08-25,13.42
2021-08-26,12.12
2021-08-26,13.33
2021-09-10,15.56
2021-09-11,9.8
2021-09-12,8.97
2021-09-12,13.53
2021-09-14,15.33
2021-09-15,11.61
2021-09-16,12.19
2021-09-17,14.84
2021-09-18,12.81
2021-09-18,15
2021-10-03,10.85
2021-10-04,10.18
2021-10-05,11.67
2021-10-06,12.2
2021-10-07,13.22
2021-10-08,12.5
2021-10-09,14.92
2021-10-09,13.33
2021-10-23,12.86
2021-10-24,11.72
2021-10-25,13.33
2021-10-26,12.54
2021-10-27,13.7
2021-10-28,15
2021-10-29,10.95
2021-10-30,12.63
2021-10-30,12.41
2021-11-17,10.38
2021-11-18,12.45
2021-11-19,10.69
2021-11-20,10
2021-11-21,22
2021-11-22,16.67
2021-11-23,11.03
2021-11-24,11.67
2021-12-10,10.53
2021-12-11,11.15
2021-12-12,8.57
2021-12-13,10.77
2021-12-14,11.9
2021-12-17,12.7
2021-12-18,13.33
2021-12-19,13.77
2021-12-20,14.42
2022-01-04,6.3
2022-01-05,7.62
2022-01-06,13.92
2022-01-07,19.44
2022-01-08,12.63
2022-01-09,23.17
2022-01-10,5.79
2022-01-11,6.82
2022-02-02,3.99
2022-02-03,4.46
2022-02-04,5.7
2022-02-05,9.18
2022-02-06,10.13
2022-02-07,7.62
2022-02-07,4.89
2022-02-20,3.53
2022-02-21,7.14
2022-02-21,2.88
2022-02-23,4.58
2022-02-24,13.82
2022-02-25,16.03
2022-02-26,20
2022-02-26,1.2
2022-03-14,1.4
2022-03-15,9
2022-03-16,6.73
2022-03-16,
2022-03-17,6.21
2022-03-18,1.2
2022-03-19,9.06
2022-03-20,7.63
2022-03-21,13.18
2022-03-21,7.84
2022-04-08,2.56
2022-04-09,7.88
2022-04-10,4.44
2022-04-11,0.35
2022-04-11,3.13
2022-04-13,12.2
2022-04-14,9.56
2022-04-15,4.78
2022-04-15,1.6
2022-05-03,4.17
2022-05-04,6.16
2022-05-05,4.78
2022-05-06,4.1
2022-05-07,2.38
2022-05-08,14.29
2022-05-09,20.48
2022-05-10,
2022-05-11,
2022-05-12,6.2
2022-05-27,8.96
2022-05-28,6.44
2022-05-29,6.8
2022-05-30,9.56
2022-05-31,6.48
2022-06-01,17.41
2022-06-02,10.92
2022-06-02,3.55
2022-06-19,17.19
2022-06-20,12.24
2022-06-21,8.14
2022-06-22,7.14
2022-06-23,49.49
2022-06-24,3.45
2022-06-25,1.72
2022-06-26,10.21
2022-07-11,48.34
