UTC Date & Time,CP Fuel Cons. Limit
2021-08-29,36
2021-08-30,36
2021-08-31,36
2021-09-01,36
2021-09-02,36
2021-09-03,36
2021-09-04,36
2021-09-05,36
2021-09-06,36
2021-09-22,36
2021-09-23,36
2021-09-24,36
2021-09-27,36
2021-09-29,36
2021-10-13,36
2021-10-15,36
2021-10-17,36
2021-10-19,36
2021-10-20,36
2021-10-20,36
2021-11-04,36
2021-11-05,36
2021-11-06,36
2021-11-07,36
2021-11-08,36
2021-11-09,36
2021-11-10,36
2021-11-10,36
2021-11-27,36
2021-11-28,36
2021-11-30,36
2021-12-01,36
2021-12-01,36
2021-12-03,36
2021-12-04,36
2021-12-05,36
2021-12-05,36
2021-12-23,36
2002-12-24,36
2021-12-25,36
2021-12-26,36
2021-12-27,36
2021-12-28,36
2021-12-29,36
2021-12-29,36
2022-01-18,36
2022-01-19,36
2022-01-20,36
2022-01-21,36
2022-01-22,36
2022-01-23,36
2022-01-24,36
2022-01-25,36
2022-01-25,36
2022-02-10,36
2022-02-11,36
2022-02-12,36
2022-02-13,36
2022-02-14,36
2022-02-15,36
2022-02-16,36
2022-02-16,36
2022-03-01,36
2022-03-02,36
2022-03-05,36
2022-03-06,36
2022-03-07,36
2022-03-08,36
2022-03-08,36
2022-03-27,36
2022-03-28,36
2022-03-29,36
2022-03-30,36
2022-03-31,36
2022-04-01,36
2022-04-02,36
2022-04-02,36
2022-04-20,36
2022-04-21,36
2022-04-22,36
2022-04-23,36
2022-04-24,36
2022-04-25,36
2022-04-26,36
2022-04-27,36
2022-04-28,36
2022-05-17,36
2022-05-18,36
2022-05-19,36
2022-05-20,36
2022-05-21,36
2022-05-22,36
2022-05-23,36
2022-05-24,36
2022-05-25,36
2022-05-25,36
2022-06-05,36
2022-06-06,36
2022-06-07,36
2022-06-08,36
2022-06-09,36
2022-06-10,36
2022-06-11,36
2022-06-12,36
2022-06-13,36
2022-06-30,36
2022-07-01,36
2022-07-02,36
2022-07-03,36
2022-07-04,36
2022-07-05,36
2022-07-06,36
2022-07-07,36
2022-07-08,36
2022-07-09,36
