UTC Date & Time,Steaming time (HRS),FW production (MT),FW production (MT) /24
29-Aug-21,3.7,0,0
30-Aug-21,24,22,22
31-Aug-21,24,22,22
1-Sep-21,24,22,22
2-Sep-21,24,22,22
3-Sep-21,24,22,22
4-Sep-21,24,22,22
5-Sep-21,24,22,22
6-Sep-21,23,17,17.74
22-Sep-21,19.7,16,19.49
23-Sep-21,24,18,18
24-Sep-21,24,11,11
25-Sep-21,24,22,22
26-Sep-21,24,21,21
27-Sep-21,24,21,21
28-Sep-21,24,21,21
29-Sep-21,24,22,22
29-Sep-21,12.5,0,0
13-Oct-21,18,13,17.33
14-Oct-21,24,21,21
15-Oct-21,24,21,21
16-Oct-21,21,18,20.57
17-Oct-21,21,17,19.43
18-Oct-21,24,20,20
19-Oct-21,24,20,20
20-Oct-21,24,20,20
20-Oct-21,17,12,16.94
3-Nov-21,16.5,13,18.91
4-Nov-21,24,20,20
5-Nov-21,24,20,20
6-Nov-21,24,20,20
7-Nov-21,24,20,20
8-Nov-21,24,20,20
9-Nov-21,24,20,20
10-Nov-21,24,20,20
10-Nov-21,6,3,12
27-Nov-21,10,7,16.8
28-Nov-21,24,19,19
29-Nov-21,24,20,20
30-Nov-21,24,19,19
1-Dec-21,24,20,20
1-Dec-21,12.5,10,19.2
3-Dec-21,15,10,16
4-Dec-21,24,21,21
5-Dec-21,24,21,21
5-Dec-21,7,5,17.14
23-Dec-21,23,22,22.96
24-Dec-21,24,22,22
25-Dec-21,24,21,21
26-Dec-21,24,21,21
27-Dec-21,24,21,21
28-Dec-21,24,19,19
29-Dec-21,24,20,20
29-Dec-21,11.7,5,10.26
18-Jan-22,14,6,10.29
19-Jan-22,24,19,19
20-Jan-22,24,19,19
21-Jan-22,24,19,19
22-Jan-22,22.7,17,17.97
10-Feb-22,21.5,20,22.33
11-Feb-22,24,23,23
12-Feb-22,24,23,23
13-Feb-22,24,23,23
14-Feb-22,24,23,23
15-Feb-22,24,22,22
16-Feb-22,24,12,12
16-Feb-22,1.6,0,0
1-Mar-22,12.2,12,23.61
2-Mar-22,24,23,23
3-Mar-22,24,23,23
4-Mar-22,24,23,23
5-Mar-22,24,22,22
6-Mar-22,24,16,16
7-Mar-22,24,0,0
8-Mar-22,24,0,0
8-Mar-22,1,0,0
26-Mar-22,19.5,16,19.69
27-Mar-22,24,20,20
28-Mar-22,24,20,20
29-Mar-22,24,20,20
30-Mar-22,24,20,20
31-Mar-22,24,15,15
1-Apr-22,24,19,19
2-Apr-22,24,15,15
2-Apr-22,2.2,0,0
20-Apr-22,10.5,9,20.57
21-Apr-22,24,19,19
22-Apr-22,24,19,19
23-Apr-22,24,19,19
24-Apr-22,24,19,19
25-Apr-22,24,18,18
26-Apr-22,24,18,18
27-Apr-22,24,18,18
28-Apr-22,24,12,12
17-May-22,6.6,5,18.18
18-May-22,24,21,21
19-May-22,24,20,20
20-May-22,24,20,20
21-May-22,24,20,20
22-May-22,24,21,21
23-May-22,24,21,21
24-May-22,24,21,21
25-May-22,20.1,17,20.3
5-Jun-22,5.7,4,16.84
6-Jun-22,24,20,20
7-Jun-22,24,19,19
8-Jun-22,24,19,19
9-Jun-22,24,20,20
10-Jun-22,24,20,20
11-Jun-22,24,9,9
12-Jun-22,24,19,19
13-Jun-22,20.5,12,14.05
30-Jun-22,14.5,10,16.55
1-Jul-22,24,18,18
2-Jul-22,24,18,18
3-Jul-22,24,18,18
4-Jul-22,24,18,18
5-Jul-22,24,19,19
6-Jul-22,24,18,18
7-Jul-22,24,8,8
8-Jul-22,24,18,18
9-Jul-22,19.5,12,14.77
