UTC Date & Time,Voyage No.,Instructed Speed,CP Fuel Cons. Limit,SS/HS/PS,Steaming time (HRS),Speed (KTS),Slip (%),Wind force,ME FO Consumption,Total FO Consumption,ME FO Consumption / 24 hrs,TOTAL FO Consumption / 24 hrs
8/29/2021,01-L,11,36,SS,3.7,10.3,9.52,3,4.48,5.08,29.06,32.95
8/30/2021,01-L,11,36,SS,24,9.4,24.77,3,29.75,32.94,29.75,32.94
8/31/2021,01-L,11,36,SS,24,9.9,20.77,3,29.77,32.97,29.77,32.97
9/1/2021,01-L,11,36,SS,24,9.4,24.77,4,29.78,32.95,29.78,32.95
9/2/2021,01-L,11,36,SS,24,9.6,22.3,4,29.76,32.94,29.76,32.94
9/3/2021,01-L,11,36,SS,24,9.7,22.77,4,29.77,32.97,29.77,32.97
9/4/2021,01-L,11,36,SS,24,10.3,21.78,3,31.37,34.56,31.37,34.56
9/5/2021,01-L,11,36,SS,24,9.3,28.98,4,31.76,34.97,31.76,34.97
9/6/2021,01-L,11,36,SS,23,10,24.25,3,30,33.48,31.3,34.94
9/22/2021,02-L,11,36,SS,19.7,10,10.91,4,24.98,27.98,30.43,34.09
9/23/2021,02-L,11,36,SS,24,10.3,8.89,4,31.67,34.87,31.67,34.87
9/24/2021,02-L,11,36,SS,24,9.5,8.8,4,31.6,34.8,31.6,34.8
9/27/2021,02-L,11,36,SS,24,8.4,17.55,6,31.6,34.9,31.6,34.9
9/29/2021,02-L,11,36,SS,12.5,9.9,11.43,4,16.3,18.2,31.3,34.94
10/13/2021,03-L,11,36,SS,18,10.2,12.38,4,25.13,27.75,33.51,37
10/15/2021,03-L,11,36,SS,24,9.6,13.21,4,33.5,37.1,33.5,37.1
10/17/2021,03-L,11,36,SS,21,7.9,23.26,6,29.4,33,33.6,37.71
10/19/2021,03-L,11,36,SS,24,9.7,11.45,4,33.6,37.2,33.6,37.2
10/20/2021,03-L,11,36,SS,24,9.7,13.06,4,33.6,37.2,33.6,37.2
10/20/2021,03-L,11,36,SS,17,10.4,11.5,4,23.6,26.2,33.32,36.99
11/4/2021,04-L,11,36,SS,24,9.9,12.22,4,32.9,36.5,32.9,36.5
11/5/2021,04-L,11,36,SS,24,10.3,11.43,4,33.2,36.8,33.2,36.8
11/6/2021,04-L,11,36,SS,24,10.3,11.79,4,32.9,36.5,32.9,36.5
11/7/2021,04-L,11,36,SS,24,9.2,12,4,32.9,36.5,32.9,36.5
11/8/2021,04-L,11,36,SS,24,10.1,11.64,4,32.8,36.3,32.8,36.3
11/9/2021,04-L,11,36,SS,24,9.8,12.59,4,32.9,36.5,32.9,36.5
11/10/2021,04-L,11,36,SS,24,9.6,10.12,4,32.9,36.5,32.9,36.5
11/10/2021,04-L,11,36,SS,6,9.8,9.23,3,8.2,9.1,32.8,36.4
11/27/2021,05-L,11,36,SS,10,10.1,12.17,4,13.5,15,32.4,36
11/28/2021,05-L,11,36,SS,24,9.7,12.45,4,32.4,36,32.4,36
11/30/2021,05-L,11,36,SS,24,11.3,7.19,3,32.5,36.1,32.5,36.1
12/1/2021,05-L,11,36,SS,24,10.2,11.27,4,32.4,36,32.4,36
12/1/2021,05-L,11,36,SS,12.5,10.6,12.5,3,16.8,18.67,32.26,35.85
12/3/2021,05L-1,11,36,SS,15,9.7,11.52,3,20,22.25,32,35.6
12/4/2021,05L-1,11,36,SS,24,10.2,12.5,4,32.4,36,32.4,36
12/5/2021,05L-1,11,36,SS,24,10,10.74,3,32.4,35.9,32.4,35.9
12/5/2021,05L-1,11,36,SS,7,10,12.5,3,8.2,9.25,28.11,31.71
12/23/2021,06-L,11,36,SS,23,10.7,18.21,4,32,35.45,33.39,36.99
12/24/2002,06-L,11,36,SS,24,10.4,20.63,4,33.4,37,33.4,37
12/25/2021,06-L,11,36,SS,24,11.3,13.74,4,33.3,36.9,33.3,36.9
12/26/2021,06-L,11,36,SS,24,11.2,14.65,4,33.2,36.8,33.2,36.8
12/27/2021,06-L,11,36,SS,24,9.5,26.6,4,33,36.6,33,36.6
12/28/2021,06-L,11,36,SS,24,10.4,19.94,4,33,36.6,33,36.6
12/29/2021,06-L,11,36,SS,24,9.8,24.76,3,33,36.6,33,36.6
12/29/2021,06-L,11,36,SS,11.7,10.5,18.54,3,16.5,18.3,33.85,37.54
1/18/2022,07L,11,36,SS,14,10.7,18.03,4,18.9,21,32.4,36
1/19/2022,07L,11,36,SS,24,10.6,19.37,4,32,35.6,32,35.6
1/20/2022,07L,11,36,SS,24,11.2,14.6,4,32,35.6,32,35.6
1/21/2022,07L,11,36,SS,24,12,9.18,3,32,35.6,32,35.6
1/22/2022,07L,11,36,SS,22.7,11,16.16,3,30.2,33.6,31.93,35.52
